"";"orgao";"acao_longa";"tipo_variacao";"ploa2021";"ploa2020";"variacao";"valor"
"173";"26000 - Ministério da Educação";"214V - Apoio à Alfabetização, à Educação de Jovens e Adultos e a Programas de Elevação de Escolaridade, Com Qualificação Profissional e Participação Cidadã";"Reduções";1366765;1,5e+07;-13633235;9,97482010440712
"174";"26000 - Ministério da Educação";"219V - Apoio ao Funcionamento das Instituições Federais de Educação Superior";"Reduções";38102617;1,1e+08;-71897383;1,88694081039106
"175";"26000 - Ministério da Educação";"21B5 - Avaliação da Educação Profissional e Tecnológica";"Reduções";1e+06;2800000;-1800000;1,8
"176";"29000 - DEFENSORIA PUBLICA DA UNIAO";"0Z01 - Reserva de Contingência Fiscal - Primária";"Reduções";979946;8313236;-7333290;7,48336132807318
"177";"29000 - DEFENSORIA PUBLICA DA UNIAO";"2004 - Assistência Médica e Odontológica aos Servidores Civis, Empregados, Militares e seus Dependentes";"Aumentos";12899081;4966568;7932513;1,59718199770948
"178";"29000 - DEFENSORIA PUBLICA DA UNIAO";"219I - Publicidade Institucional e de Utilidade Pública";"Aumentos";3425000;550000;2875000;5,22727272727273
"179";"30000 - Ministério da Justiça e Segurança Pública";"00OQ - Contribuições a Organismos Internacionais sem Exigência de Programação Específica";"Aumentos";242317;116638;125679;1,07751333184725
"180";"30000 - Ministério da Justiça e Segurança Pública";"00R3 - Racionalização e Modernização do Sistema Penal";"Aumentos";115000001;40579750;74420251;1,83392581275143
"181";"30000 - Ministério da Justiça e Segurança Pública";"0122 - Contribuição À Organização Internacional de Polícia Criminal - Interpol - França";"Aumentos";11427120;5300000;6127120;1,15606037735849
"182";"30000 - Ministério da Justiça e Segurança Pública";"154Z - Construção da Superintendência Regional da Polícia Federal no Estado do Pará - Plano Estratégico de Fronteiras";"Reduções";264212;6e+06;-5735788;21,7090366826639
"183";"30000 - Ministério da Justiça e Segurança Pública";"155H - Construção da Delegacia de Juiz de Fora";"Reduções";5e+05;5e+06;-4500000;9
"184";"30000 - Ministério da Justiça e Segurança Pública";"15OH - Construção da Penitenciária Federal em Charqueadas- RS";"Aumentos";8e+06;1e+06;7e+06;7
"185";"30000 - Ministério da Justiça e Segurança Pública";"20IE - Articulação de Política Pública sobre Drogas";"Reduções";4407949;2,9e+07;-24592051;5,57902348688699
"186";"30000 - Ministério da Justiça e Segurança Pública";"21BM - Desenvolvimento de Políticas de Segurança Pública, Prevenção e Enfrentamento à Criminalidade";"Reduções";1e+06;92900000;-91900000;91,9
"187";"30000 - Ministério da Justiça e Segurança Pública";"21BQ - Implementação de Políticas de Segurança Pública, Prevenção, e Enfrentamento à Criminalidade";"Aumentos";567212869;305543354;261669515;0,856407156543814
"188";"30000 - Ministério da Justiça e Segurança Pública";"21BR - Gestão de Ativos e Descapitalização do Crime";"Aumentos";58730185;1,1e+07;47730185;4,33910772727273
"189";"30000 - Ministério da Justiça e Segurança Pública";"6067 - Apoio a Projetos de Defesa dos Direitos Difusos";"Reduções";100182760;233527919;-133345159;1,33101901963971
"190";"32000 - Ministério de Minas e Energia";"13E4 - Projeto de Assistência Técnica aos Setores de Energia e Mineral - META";"Aumentos";1,5e+07;8e+06;7e+06;0,875
"191";"32000 - Ministério de Minas e Energia";"20I3 - Descomissionamento das Unidades Mínero-Industriais do Ciclo do Combustível Nuclear";"Reduções";5e+06;1e+07;-5e+06;1
"192";"32000 - Ministério de Minas e Energia";"20LA - Mapeamento Geológico-geotécnico em Municípios Críticos com Relação a Riscos Geológicos";"Aumentos";6e+06;3278549;2721451;0,830077878964139
"193";"32000 - Ministério de Minas e Energia";"20LC - Levantamento Geológico, Oceanográfico e Ambiental do Potencial Mineral do Espaço Marinho e Costeiro";"Aumentos";12600000;3278011;9321989;2,8437943008733
"194";"32000 - Ministério de Minas e Energia";"20LI - Estudos para o Planejamento do Setor Energético";"Aumentos";3374600;1761762;1612838;0,915468718249117
"195";"32000 - Ministério de Minas e Energia";"212H - Manutenção de Contrato de Gestão com Organizações Sociais (Lei nº 9.637, de 15 de maio de 1998)";"Aumentos";2327000;1229457;1097543;0,892705478922809
"196";"32000 - Ministério de Minas e Energia";"21BB - Pesquisa, Desenvolvimento e Inovação nas Geociências e Setor Mineral";"Aumentos";2e+06;163927;1836073;11,2005526850366
"197";"32000 - Ministério de Minas e Energia";"21BD - Estudos da indústria de biocombustíveis";"Aumentos";1081000;458000;623000;1,36026200873362
"198";"32000 - Ministério de Minas e Energia";"21BE - Fabricação de equipamentos destinados a indústria de petróleo e gás, offshore e outros";"Aumentos";44985951;8863976;36121975;4,07514359244655
"199";"32000 - Ministério de Minas e Energia";"2399 - Avaliação das Áreas de Concentração Mineral";"Aumentos";10100000;5663781;4436219;0,783261040636988
"200";"32000 - Ministério de Minas e Energia";"2B51 - Gestão da Informação Geológica";"Aumentos";8919000;4820005;4098995;0,850413018243757
"201";"32000 - Ministério de Minas e Energia";"4641 - Publicidade de Utilidade Pública";"Reduções";1e+05;3e+05;-2e+05;2
"202";"32265 - Agência Nacional do Petróleo, Gás Natural e Biocombustíveis - ANP";"0Z00 - Reserva de Contingência - Financeira";"Reduções";656910505;1346248006;-689337501;1,04936288239141
"203";"32265 - Agência Nacional do Petróleo, Gás Natural e Biocombustíveis - ANP";"4641 - Publicidade de Utilidade Pública";"Reduções";1e+05;5e+05;-4e+05;4
"204";"32266 - Agência Nacional de Energia Elétrica - ANEEL";"216H - Ajuda de Custo para Moradia ou Auxílio-Moradia a Agentes Públicos";"Aumentos";5e+05;250000;250000;1
"205";"32266 - Agência Nacional de Energia Elétrica - ANEEL";"4641 - Publicidade de Utilidade Pública";"Reduções";1e+05;1e+06;-9e+05;9
"206";"34000 - MINISTERIO PUBLICO DA UNIAO";"0Z00 - Reserva de Contingência - Financeira";"Aumentos";1892680;23124;1869556;80,8491610448019
"207";"34000 - MINISTERIO PUBLICO DA UNIAO";"0Z01 - Reserva de Contingência Fiscal - Primária";"Aumentos";21724878;1118728;20606150;18,4192672392217
"208";"34000 - MINISTERIO PUBLICO DA UNIAO";"110E - Construção do Edifício-Sede da Procuradoria da República em Boa Vista - RR";"Aumentos";2500000;5e+05;2e+06;4
"209";"34000 - MINISTERIO PUBLICO DA UNIAO";"11SD - Construção do Edifício-Sede da Procuradoria da República em Belém - PA";"Aumentos";7500000;3e+06;4500000;1,5
"210";"34000 - MINISTERIO PUBLICO DA UNIAO";"13C1 - Construção do Edifício-Sede da Promotoria de Justiça de Brazlândia";"Aumentos";7e+06;50000;6950000;139
"211";"34000 - MINISTERIO PUBLICO DA UNIAO";"15UA - Reformas dos Edifícios-Sede do Ministério Público Federal";"Reduções";1500000;5e+06;-3500000;2,33333333333333
"212";"34000 - MINISTERIO PUBLICO DA UNIAO";"15UB - Construção do Edifício-Sede da Procuradoria Regional do Trabalho em Brasília – DF";"Aumentos";1,6e+07;4e+06;1,2e+07;3
"213";"34000 - MINISTERIO PUBLICO DA UNIAO";"7J45 - Construção do Edifício-Sede da Procuradoria da República em Vitória-ES";"Aumentos";8500000;5e+05;8e+06;16
"214";"36000 - Ministério da Saúde";"14UO - Implantação de Centros de Desenvolvimento Tecnológico e de Produção de Insumos para o SUS";"Reduções";3500000;1,5e+07;-11500000;3,28571428571429
"215";"36000 - Ministério da Saúde";"212H - Manutenção de Contrato de Gestão com Organizações Sociais (Lei nº 9.637, de 15 de maio de 1998)";"Aumentos";35268000;1500000;33768000;22,512
"216";"36212 - Agência Nacional de Vigilância Sanitária - ANVISA";"0005 - Cumprimento de Sentença Judicial Transitada em Julgado (Precatórios)";"Aumentos";1633363;1000;1632363;1632,363
"217";"36213 - Agência Nacional de Saúde Suplementar - ANS";"0005 - Cumprimento de Sentença Judicial Transitada em Julgado (Precatórios)";"Aumentos";35698716;530878;35167838;66,244670150204
"218";"36213 - Agência Nacional de Saúde Suplementar - ANS";"00OQ - Contribuições a Organismos Internacionais sem Exigência de Programação Específica";"Aumentos";288000;157000;131000;0,834394904458599
"219";"36213 - Agência Nacional de Saúde Suplementar - ANS";"0181 - Aposentadorias e Pensões - Servidores Civis";"Aumentos";9048793;4184236;4864557;1,16259145038664
"220";"39000 - Ministério da Infraestrutura";"00QP - Cumprimento de Obrigações Decorrentes da Dissolução/Liquidação da Companhia Docas do Maranhão - CODOMAR";"Aumentos";28630991;1e+06;27630991;27,630991
"221";"39000 - Ministério da Infraestrutura";"0713 - Cumprimento de Obrigações decorrentes da extinção do Departamento Nacional de Estradas de Rodagem - DNER";"Aumentos";5e+05;190000;310000;1,63157894736842
"222";"39000 - Ministério da Infraestrutura";"10IX - Adequação de Trecho Rodoviário - Entroncamento BR-116/259/451 (Governador Valadares) - Entroncamento MG-020 - na BR-381 - no Estado de Minas Gerais";"Reduções";4100000;1,12e+08;-107900000;26,3170731707317
"223";"39000 - Ministério da Infraestrutura";"10L1 - Adequação de Trecho Rodoviário - Rondonópolis - Cuiabá - Posto Gil - na BR-163 - no Estado do Mato Grosso";"Reduções";36800000;9e+07;-53200000;1,44565217391304
"224";"39000 - Ministério da Infraestrutura";"10L3 - Adequação de Trecho Rodoviário - Caucaia - Entroncamento Acesso ao Porto de Pecém - na BR-222 - no Estado do Ceará";"Reduções";1,8e+07;3,5e+07;-1,7e+07;0,944444444444444
"225";"39000 - Ministério da Infraestrutura";"110I - Construção de Trecho Rodoviário - Altamira - Rurópolis - na BR-230 - no Estado do Pará";"Aumentos";16400000;5e+06;11400000;2,28
"226";"39000 - Ministério da Infraestrutura";"11H1 - Adequação de Ramal  Ferroviário no Estado do Rio de Janeiro";"Aumentos";24500000;12300000;12200000;0,991869918699187
"227";"39000 - Ministério da Infraestrutura";"11ZD - Construção da Ferrovia Norte-Sul - Ouroeste - Estrela D'Oeste - no Estado de São Paulo";"Reduções";1644500;4732818;-3088318;1,87796777135908
"228";"39000 - Ministério da Infraestrutura";"11ZE - Construção da Ferrovia de Integração Oeste-Leste - Ilhéus-Caetité - no Estado da Bahia";"Reduções";21440355;58411330;-36970975;1,72436393893665
"229";"39000 - Ministério da Infraestrutura";"11ZH - Construção da Ferrovia Norte-Sul - Ouro Verde de Goiás - São Simão - no Estado de Goiás";"Aumentos";4672837;2556571;2116266;0,827775172291323
"230";"39000 - Ministério da Infraestrutura";"11ZI - Construção da Ferrovia Norte-Sul - Santa Vitória - Iturama - MG";"Reduções";1469366;2860310;-1390944;0,946628682030209
"231";"39000 - Ministério da Infraestrutura";"127G - Construção de Terminais Fluviais";"Reduções";6e+06;3,3e+07;-2,7e+07;4,5
"232";"39000 - Ministério da Infraestrutura";"12JL - Adequação de Trecho Rodoviário - Cascavel - Guaíra - na BR-163 - no Estado do Paraná";"Reduções";33500000;8e+07;-46500000;1,38805970149254
"233";"39000 - Ministério da Infraestrutura";"12JP - Apoio à Construção do Rodoanel - Trecho Norte - no Estado de São Paulo";"Reduções";5e+06;6e+07;-5,5e+07;11
"234";"39000 - Ministério da Infraestrutura";"1418 - Construção de Trecho Rodoviário - Ferreira Gomes - Oiapoque (Fronteira com a Guiana Francesa) - na BR-156 - no Estado do Amapá";"Aumentos";30900000;1e+06;29900000;29,9
"235";"39000 - Ministério da Infraestrutura";"1490 - Construção de Trecho Rodoviário - Divisa MT/PA - Santarém - na BR-163 - no Estado do Pará";"Reduções";1,8e+07;7e+07;-5,2e+07;2,88888888888889
"236";"39000 - Ministério da Infraestrutura";"14KV - Apoio a Implantação de Melhoramentos no Canal de Navegação da Hidrovia do Rio Tietê";"Reduções";5123632;10650000;-5526368;1,07860361556021
"237";"39000 - Ministério da Infraestrutura";"14UB - Construção, Reforma e Reaparelhamento de Aeroportos e Aeródromos de Interesse Regional";"Reduções";32885007;155500000;-122614993;3,72859865895726
"238";"39000 - Ministério da Infraestrutura";"14X6 - Recuperação de Áreas Degradadas - Ferrovia Norte-Sul";"Reduções";2226310;17020000;-14793690;6,6449371381344
"239";"39000 - Ministério da Infraestrutura";"15P7 - Modernização e Ampliação da Infraestrutura de Tecnologia da Informação";"Reduções";20003734;35170000;-15166266;0,758171749334399
"240";"39000 - Ministério da Infraestrutura";"15RT - Adequação de Linha Férrea em Mogi Guaçu - na EF-050/SP";"Reduções";1e+06;3e+06;-2e+06;2
"241";"39000 - Ministério da Infraestrutura";"1K23 - Adequação de Trecho Rodoviário - Entroncamento BR-050 - Entroncamento BR-153 - na BR-365 - no Estado de Minas Gerais";"Reduções";8e+05;1e+07;-9200000;11,5
"242";"39000 - Ministério da Infraestrutura";"20SW - Formação e Capacitação de Profissionais da Aviação Civil";"Reduções";1500000;4e+06;-2500000;1,66666666666667
"243";"39000 - Ministério da Infraestrutura";"20YZ - Apoio ao Fortalecimento Institucional do Sistema Nacional de Trânsito";"Reduções";1350000;93914000;-92564000;68,5659259259259
"244";"39000 - Ministério da Infraestrutura";"4641 - Publicidade de Utilidade Pública";"Aumentos";18864000;6887000;11977000;1,73907361695949
"245";"39000 - Ministério da Infraestrutura";"5E15 - Construção de Trecho Rodoviário - Peixe - Paraná - Taguatinga - na BR-242 - no Estado do Tocantins";"Aumentos";13100000;5e+06;8100000;1,62
"246";"39000 - Ministério da Infraestrutura";"7242 - Construção de Trecho Rodoviário - Cantá - Novo Paraíso - na BR-432 - no Estado de Roraima";"Reduções";20400000;7e+07;-49600000;2,43137254901961
"247";"39000 - Ministério da Infraestrutura";"7E79 - Construção de Trecho Rodoviário - Uruaçu - Divisa GO/MT - na BR-080 - no Estado de Goiás";"Aumentos";12300000;5e+06;7300000;1,46
"248";"39000 - Ministério da Infraestrutura";"7F51 - Construção de Trecho Rodoviário - Divisa PI/BA - Divisa BA/SE - na BR-235 - No Estado da Bahia";"Aumentos";12300000;1e+06;11300000;11,3
"249";"39000 - Ministério da Infraestrutura";"7I71 - Construção de Contorno Rodoviário - no Município de Jataí - na BR-060 - no Estado de Goiás";"Aumentos";22900000;1e+07;12900000;1,29
"250";"39000 - Ministério da Infraestrutura";"7K23 - Construção de Trecho Rodoviário - Porto Camargo - Campo Mourão - na BR-487 - no Estado do Paraná";"Reduções";14700000;3e+07;-15300000;1,04081632653061
"251";"39000 - Ministério da Infraestrutura";"7M88 - Adequação de Trecho Rodoviário - Entroncamento PE-160 - Entroncamento PE-149 (Km 19,8 ao 71,2) - na BR-104 - no Estado de Pernambuco";"Reduções";1600000;3e+07;-28400000;17,75
"252";"39000 - Ministério da Infraestrutura";"7N22 - Construção de Trecho Rodoviário -  Divisa BA/PI - Divisa PI/MA - na BR-235 - No Estado do Piauí";"Reduções";16400000;3e+07;-13600000;0,829268292682927
"253";"39000 - Ministério da Infraestrutura";"7S51 - Construção de Contorno Rodoviário - Contorno de Mestre Álvaro - no Município de Serra - na BR-101 - no Estado do Espírito Santo";"Aumentos";32700000;1e+06;31700000;31,7
"254";"39000 - Ministério da Infraestrutura";"7S57 - Construção de Trecho Rodoviário - Entronc. BR-163 (Rio Verde Mato Grosso) - Entr. BR-262 (Aquidauana) - Na BR-419 - No Estado do Mato Grosso do Sul";"Aumentos";27900000;1,5e+07;12900000;0,86
"255";"39000 - Ministério da Infraestrutura";"7S62 - Construção de Trecho Rodoviário -  Viseu - Bragança - na BR-308 - No Estado do Pará";"Aumentos";12300000;1500000;10800000;7,2
"256";"39000 - Ministério da Infraestrutura";"7S75 - Adequação de Trecho Rodoviário - Entroncamento BR-226 - Entroncamento BR-101 (Reta Tabajara) - na BR-304 - no Estado do Rio Grande do Norte";"Reduções";1,8e+07;3,5e+07;-1,7e+07;0,944444444444444
"257";"39000 - Ministério da Infraestrutura";"7T98 - Adequação de Trecho Rodoviário - km 0 (Cabedelo) - km 28 (Oitizeiro) - na BR-230 - no Estado da Paraíba";"Aumentos";24500000;1500000;2,3e+07;15,3333333333333
"258";"39000 - Ministério da Infraestrutura";"7U22 - Adequação de Trecho Rodoviário - Entroncamento - BR - 277 (acesso Cascavel) - Marmelândia - na BR - 163 - no Estado do Paraná";"Reduções";34400000;8e+07;-45600000;1,32558139534884
"259";"39000 - Ministério da Infraestrutura";"7V00 - Construção de Trecho Rodoviário - Entroncamento BR-316 (Início do contorno de Timon) - Povoado Montividel - na BR-226/MA";"Aumentos";23500000;1500000;2,2e+07;14,6666666666667
"260";"39000 - Ministério da Infraestrutura";"7W67 - Construção do Viaduto do Gancho nos Municípios de Natal e São Gonçalo do Amarante - na BR-406/RN";"Aumentos";16400000;5e+06;11400000;2,28
"261";"39000 - Ministério da Infraestrutura";"7W84 - Adequação de Trecho Rodoviário - Trecho Estiva - Entroncamento BR-222 (Miranda do Norte) na BR-135/MA";"Aumentos";15100000;1500000;13600000;9,06666666666667
"262";"39250 - Agência Nacional de Transportes Terrestres - ANTT";"0005 - Cumprimento de Sentença Judicial Transitada em Julgado (Precatórios)";"Aumentos";304123;2436;301687;123,845238095238
"263";"39250 - Agência Nacional de Transportes Terrestres - ANTT";"0Z00 - Reserva de Contingência - Financeira";"Aumentos";636984829;204756918;432227911;2,11093190511883
"264";"39250 - Agência Nacional de Transportes Terrestres - ANTT";"20UC - Estudos, Projetos e Planejamento de Infraestrutura de Transportes";"Reduções";342865;3849674;-3506809;10,2279585259504
"265";"39250 - Agência Nacional de Transportes Terrestres - ANTT";"218S - Apoio ao Planejamento, Gerenciamento e Acompanhamento da Implementação de Empreendimentos de Infraestrutura";"Reduções";29543123;52502364;-22959241;0,777143330446141
"266";"39250 - Agência Nacional de Transportes Terrestres - ANTT";"2907 - Fiscalização da Concessão de Rodovias";"Reduções";15152705;50171449;-35018744;2,31105561680241
"267";"39251 - Agência Nacional de Transportes Aquaviários - ANTAQ";"0Z00 - Reserva de Contingência - Financeira";"Reduções";40979443;125992693;-85013250;2,07453405357413
"268";"39251 - Agência Nacional de Transportes Aquaviários - ANTAQ";"20UC - Estudos, Projetos e Planejamento de Infraestrutura de Transportes";"Reduções";1e+06;2e+06;-1e+06;1
"269";"41231 - Agência Nacional de Telecomunicações - ANATEL";"0005 - Cumprimento de Sentença Judicial Transitada em Julgado (Precatórios)";"Aumentos";1925089;1000;1924089;1924,089
"270";"41231 - Agência Nacional de Telecomunicações - ANATEL";"0Z00 - Reserva de Contingência - Financeira";"Reduções";6237813;763818285;-757580472;121,449692704799
"271";"44000 - Ministério do Meio Ambiente";"20W2 - Enfrentamento dos Processos de Desertificação, Mitigação dos Efeitos da Seca e Convivência com a Semiaridez";"Reduções";30000;130000;-1e+05;3,33333333333333
"272";"44000 - Ministério do Meio Ambiente";"20W8 - Implementação da Agenda Ambiental na Administração Pública - A3P";"Reduções";10000;64000;-54000;5,4
"273";"44000 - Ministério do Meio Ambiente";"20WN - Execução de Pesquisa e Conservação de Espécies e do Patrimônio Espeleológico";"Reduções";3e+06;12960000;-9960000;3,32
"274";"44000 - Ministério do Meio Ambiente";"212H - Manutenção de Contrato de Gestão com Organizações Sociais (Lei nº 9.637, de 15 de maio de 1998)";"Reduções";1e+05;9e+05;-8e+05;8
"275";"44000 - Ministério do Meio Ambiente";"21A8 - Formulação e Implementação de Estratégias para Promover a Conservação, a Recuperação e o Uso Sustentável da Biodiversidade, da Vegetação Nativa e do Patrimônio Genético";"Aumentos";1e+06;520000;480000;0,923076923076923
"276";"52000 - Ministério da Defesa";"0625 - Cumprimento de Sentença Judicial Transitada em Julgado de Pequeno Valor";"Aumentos";25000;1000;24000;24
"277";"52000 - Ministério da Defesa";"0Z00 - Reserva de Contingência - Financeira";"Reduções";1288692285;5099758293;-3811066008;2,95731265901076
"278";"52000 - Ministério da Defesa";"123B - Desenvolvimento de Cargueiro Tático Militar de 10 A 20 Toneladas (Projeto KC-X)";"Aumentos";4e+08;166430000;233570000;1,40341284624166
"279";"52000 - Ministério da Defesa";"123H - Construção de Submarino de Propulsão Nuclear";"Aumentos";646847535;327612997;319234538;0,974425742944502
"280";"52000 - Ministério da Defesa";"147F - Implantação de Sistema de Defesa Cibernética para a Defesa Nacional";"Aumentos";75778023;26140581;49637442;1,89886529300936
"281";"52000 - Ministério da Defesa";"14T7 - Tecnologia Nuclear da Marinha";"Aumentos";299999999;142999998;157000001;1,09790212025038
"282";"52000 - Ministério da Defesa";"14XJ - Aquisição de Cargueiro Tático Militar de 10 a 20 Toneladas";"Reduções";226966301;622200000;-395233699;1,74137613054724
"283";"52000 - Ministério da Defesa";"15F1 - Disponibilização de Próprios Nacionais Residenciais para os Comandos Militares";"Aumentos";36999928;17700000;19299928;1,09039141242938
"284";"52000 - Ministério da Defesa";"15KP - Implantação da Medicina Operativa Conjunta nas Forças Armadas";"Reduções";98398;245000;-146602;1,48988800585378
"285";"52000 - Ministério da Defesa";"1N47 - Construção de Navios-Patrulha de 500 toneladas (NPa 500t)";"Reduções";7999891;3e+07;-22000109;2,75005109444616
"286";"52000 - Ministério da Defesa";"1N56 - Desenvolvimento de Míssil Nacional Antinavio";"Reduções";11909180;2,5e+07;-13090820;1,09922093712581
"287";"52000 - Ministério da Defesa";"20X1 - Participação Brasileira em Missões de Paz";"Reduções";24713090;81699988;-56986898;2,30593980760803
"288";"52000 - Ministério da Defesa";"20X7 - Emprego Conjunto ou Combinado das Forças Armadas";"Aumentos";100304621;36168725;64135896;1,77324182702044
"289";"52000 - Ministério da Defesa";"20XL - Saúde em Operações Militares";"Reduções";594444;2848787;-2254343;3,79235554568639
"290";"52000 - Ministério da Defesa";"212H - Manutenção de Contrato de Gestão com Organizações Sociais (Lei nº 9.637, de 15 de maio de 1998)";"Aumentos";5443810;809500;4634310;5,72490426189006
"291";"52000 - Ministério da Defesa";"217W - Operação de Sistemas Espaciais de Observação da Terra";"Reduções";1999948;5e+06;-3000052;1,50006500169004
"292";"52000 - Ministério da Defesa";"218X - Operações de Garantia da Lei e da Ordem";"Reduções";1e+06;1e+07;-9e+06;9
"293";"52000 - Ministério da Defesa";"219D - Adequação de Organizações Militares";"Reduções";104125554;203507129;-99381575;0,954439819835196
"294";"52000 - Ministério da Defesa";"21BI - Difusão do Conhecimento sobre Defesa Nacional à Sociedade Brasileira e Interação do Ensino Civil e Militar";"Aumentos";1315964;505000;810964;1,60586930693069
"295";"52000 - Ministério da Defesa";"21BJ - Desenvolvimento do Desporto e do Paradesporto Nacional e Militar";"Reduções";2704920;6100000;-3395080;1,25514987504252
"296";"52000 - Ministério da Defesa";"21BY - Fiscalização da Navegação Aquaviária";"Aumentos";16845815;6858000;9987815;1,45637430737824
"297";"52000 - Ministério da Defesa";"2345 - Apoio Logístico à Pesquisa Científica na Antártica";"Reduções";3589907;7589500;-3999593;1,11412161930657
"298";"52000 - Ministério da Defesa";"2522 - Produção de Fármacos, Medicamentos e Fitoterápicos";"Reduções";453222;1989514;-1536292;3,38971188512473
"299";"52000 - Ministério da Defesa";"3138 - Implantação do Sistema de Aviação do Exército";"Aumentos";190499988;73977057;116522931;1,57512255455093
"300";"52000 - Ministério da Defesa";"8425 - Apoio ao Projeto Rondon";"Aumentos";2208939;1126500;1082439;0,960886817576565
"301";"53000 - Ministério do Desenvolvimento Regional";"00CX - Subvenção Econômica Destinada a Implementação de Projetos de Interesse Social em Áreas Rurais (Lei nº 11.977, DE 2009)";"Reduções";107607297;331849024;-224241727;2,08388959904829
"302";"53000 - Ministério do Desenvolvimento Regional";"00OQ - Contribuições a Organismos Internacionais sem Exigência de Programação Específica";"Reduções";10752;37000;-26248;2,44122023809524
"303";"53000 - Ministério do Desenvolvimento Regional";"00QY - Acordos referentes a passivos atuariais de estatais dependentes";"Aumentos";2000;1000;1000;1
"304";"53000 - Ministério do Desenvolvimento Regional";"109H - CONSTRUÇÃO DE BARRAGENS";"Reduções";2e+07;48500000;-28500000;1,425
"305";"53000 - Ministério do Desenvolvimento Regional";"10CT - Construção da Adutora do Canal do Sertão Alagoano - Delmiro Gouveia - AL";"Reduções";3385000;67640000;-64255000;18,9822747415066
"306";"53000 - Ministério do Desenvolvimento Regional";"10GM - Estudos e Projetos de Infra-estrutura Hídrica";"Aumentos";3386390;1e+06;2386390;2,38639
"307";"53000 - Ministério do Desenvolvimento Regional";"10SC - Apoio à Implantação, Ampliação ou Melhorias em Sistemas de Abastecimento de Água em Municípios com População Superior a 50 mil Habitantes ou Municípios Integrantes de Regiões Metropolitanas ou de Regiões Integradas de Desenvolvimento";"Reduções";39538419;69591013;-30052594;0,760085880014575
"308";"53000 - Ministério do Desenvolvimento Regional";"10ST - Apoio a Projetos de Sistemas de Circulação Não-Motorizados";"Reduções";564654;1e+06;-435346;0,770996043594839
"309";"53000 - Ministério do Desenvolvimento Regional";"10T2 - Apoio a Projetos de Acessibilidade para Pessoas com Restrição de Mobilidade e Deficiência";"Aumentos";26700000;3300000;23400000;7,09090909090909
"310";"53000 - Ministério do Desenvolvimento Regional";"10ZW - Recuperação e Controle de Processos Erosivos em Bacias Hidrográficas na Área de Atuação da Codevasf";"Aumentos";17506696;7771709;9734987;1,25261856819395
"311";"53000 - Ministério do Desenvolvimento Regional";"12G6 - Recuperação de Reservatórios Estratégicos para a Integração do Rio São Francisco";"Reduções";1,4e+07;3e+07;-1,6e+07;1,14285714285714
"312";"53000 - Ministério do Desenvolvimento Regional";"14RL - Realização de Estudos, Projetos e Obras para Contenção ou Amortecimento de Cheias e Inundações e para Contenção de Erosões Marinhas e Fluviais";"Reduções";3390000;63500000;-60110000;17,7315634218289
"313";"53000 - Ministério do Desenvolvimento Regional";"14RP - Reabilitação de Barragens e de Outras Infraestruturas Hídricas";"Reduções";32390000;82150000;-49760000;1,53627662858907
"314";"53000 - Ministério do Desenvolvimento Regional";"14UX - Ampliação e Modernização do Centro Nacional de Gerenciamento de Riscos e Desastres - CENAD";"Reduções";2519027;5548132;-3029105;1,20249008843494
"315";"53000 - Ministério do Desenvolvimento Regional";"14XU - Estudos e Projetos para Implantação de Projetos de Irrigação";"Reduções";2500000;15825000;-13325000;5,33
"316";"53000 - Ministério do Desenvolvimento Regional";"15UE - Planos de Mobilidade Urbana Locais";"Reduções";564654;1e+06;-435346;0,770996043594839
"317";"53000 - Ministério do Desenvolvimento Regional";"1P95 - Apoio à Elaboração de Planos e Projetos de Saneamento em Municípios com População Superior a 50 mil Habitantes ou Integrantes de Regiões Metropolitanas ou de Regiões Integradas de Desenvolvimento";"Aumentos";11191457;3931028;7260429;1,84695428269654
"318";"53000 - Ministério do Desenvolvimento Regional";"20NV - Apoio à Implementação de Ações de Desenvolvimento do Setor Águas";"Reduções";5e+05;3e+06;-2500000;5
"319";"53000 - Ministério do Desenvolvimento Regional";"20VR - Conservação e Recuperação de Bacias Hidrográficas";"Aumentos";1,6e+07;7e+06;9e+06;1,28571428571429
"320";"53000 - Ministério do Desenvolvimento Regional";"20Z9 - Apoio à Competitividade e à Modernização da Construção Civil com Sustentabilidade Ambiental";"Aumentos";1e+06;250000;750000;3
"321";"53000 - Ministério do Desenvolvimento Regional";"214S - Estruturação e Dinamização de Atividades Produtivas";"Aumentos";23991531;12355000;11636531;0,941847915823553
"322";"53000 - Ministério do Desenvolvimento Regional";"219H - Operação e Manutenção da Barragem e da Eclusa do Canal São Gonçalo em Capão do Leão";"Reduções";2e+05;1e+06;-8e+05;4
"323";"53000 - Ministério do Desenvolvimento Regional";"2869 - Operação das Linhas de Navegação no Lago de Três Marias";"Reduções";8e+05;1500000;-7e+05;0,875
"324";"53000 - Ministério do Desenvolvimento Regional";"4542 - Fomento a Projetos de Transformação da Biodiversidade Amazônica";"Reduções";850000;1500000;-650000;0,764705882352941
"325";"53000 - Ministério do Desenvolvimento Regional";"5260 - Implantação do Perímetro de Irrigação Pontal com 7.811,9 ha no Estado de Pernambuco";"Reduções";1e+06;1,3e+07;-1,2e+07;12
"326";"53000 - Ministério do Desenvolvimento Regional";"5900 - Integração do Rio São Francisco com as Bacias dos Rios Jaguaribe, Piranhas-Açu e Apodi (Eixo Norte)";"Aumentos";486959999;2e+08;286959999;1,434799995
